AWARD_LONG_TITLE,PRPSL_LONG_TITLE,PRPSL_ABSTRACT,KEY_TERMS,GOLD_STANDARD_CATEGORIES,RCDC_CATEGORY,RCDC_SCORE,RCDC_TOP_3
Genetic analysis of innate immunity using C. elegans,Genetic analysis of innate immunity using C. elegans,"Increasing evidence suggests that the intestine plays an important role in sensing not only the presence
of pathogens but also changes in the microbiota, which ultimately result in changes in the regulation of
immune pathways and behaviors by communicating with neurons. However, the complexity of the
nervous and immune systems of mammals makes it difficult to dissect the mechanisms by which the
neural-gut axis communicates using bidirectional signals to control intestinal immunity. Studies in the
nematode Caenorhabditis elegans show that bacterial colonization of the intestine results in the
activation of the expression of innate immune genes in the gut and the activation of a neuroendocrine
signal that controls pathogen avoidance. The germline also plays a key role in the neural-gut axis not
only by transmitting the immunological memory to the next generation but also by communicating
pathogenic cues that travel from the gut to the nervous system to control innate immunity. The long-term
goal of this proposal is to elucidate the mechanism by which the neural-germline-gut axis communicates
to sense pathogens and/or infection-induced physiological changes to control innate immunity at the
whole animal level. Thus, we will explore the general hypothesis that the neural-germline-gut axis plays
a critical role in the organismal response against bacterial pathogens by helping the nervous system
integrate signals from infected sites and different tissues to coordinate the immune response. Specific
genes and neurons will be studied to dissect the neural circuits that regulate immune activation in
response to pathogen exposure and pathogen-induced alterations of the animal’s physiology. A
genetics approach will also be used to identify neurotransmitters and endocrine signals potentially
involved in the neural-immune communication that takes place between neurons and different tissues
and infected sites.",,Genetics; Infectious Diseases; Neurosciences,Neurosciences,0.9100234508514404,Neurosciences:0.910023; Microbiome:0.909787; Celiac Disease:0.909442
Does Health Insurance Promote Health through Providers and Networks?,Does Health Insurance Promote Health through Providers and Networks?,"OTHER PROJECT INFORMATION – Project Summary/Abstract
Does Health Insurance Promote Health through Providers and Networks?
Through their varying provider networks and coverages, health insurance plans directly and indirectly steer
patients toward some clinicians and hospitals and away from others. If providers differ in their quality of
care and especially if they provide better care for certain types of patients, such network variation can
meaningfully affect health outcomes at the plan level, and not just the provider level. Yet, consumers
selecting health plans lack information about which plans will direct them to better providers, obscuring this
potentially important channel to improving population health.
This project will develop novel outcome-based measures of insurance plan quality based on where
enrollees receive care, and taking account how causal impacts on health vary across provider networks. By
furthering the scientific understanding of the relationship between provider quality and patient outcomes at
the plan level, we aim to equip patients with new information for selecting insurance plans. Our measures
will also provide regulators with new instruments to reward plans that make people healthier.
At the core of our research plan are new, causal estimates of how mortality impacts vary across hospitals
and physicians and, in turn, across the health plans that rely on different provider networks. We focus on
older Americans enrolled in Medicare Advantage plans, leveraging novel data on the provider networks
used by different Medicare Advantage plans. The estimates will characterize which hospitals and providers
produce the best outcomes for beneficiaries with different demographics and comorbidities and thus which
plans are suitable for each type of patient by directing them to providers who produce good outcomes for
conditions they have or are likely to develop.
The project has four primary aims:
Aim 1: Measure and Validate Mortality Effects for Healthcare Providers
Aim 2: Link Physician and Hospital Mortality Effects to Plan Mortality Effects
Aim 3: Explore Heterogeneity in Mortality Effects Across Beneficiaries
Aim 4: Evaluate the Impact of Policy Proposals",,Aging; Basic Behavioral and Social Science; Behavioral and Social Science; Clinical Research; Health Services; Prevention; Social Determinants of Health,Primary Health Care,0.9283871650695801,Primary Health Care:0.928387; Health Disparities Research:0.925398; Health Services:0.922478
2/2 Video Telehealth Pulmonary Rehabilitation to Reduce Hospital Readmission in Chronic Obstructive Pulmonary Disease (Tele-COPD),2/2 Video Telehealth Pulmonary Rehabilitation to Reduce Hospital Readmission in Chronic Obstructive Pulmonary Disease (Tele-COPD),"Project Summary/Abstract
 Acute exacerbations of chronic obstructive pulmonary disease (COPD) result in significant morbidity and
healthcare costs, especially severe exacerbations that require hospitalization. Traditional bronchodilators and anti-
inflammatory medications, as well as programs to monitor and treat symptoms, have a modest effect on reducing
hospital admissions. Readmission rates remain unacceptably high, so alternative approaches are needed. In this
regard, pulmonary rehabilitation (PR) is remarkably effective, and is associated with an 80% reduction in admission
rates. Successful completion of PR is also associated with substantial improvements in quality of life, dyspnea, as
well as exercise tolerance. Despite these benefits, recent studies have highlighted very poor referral rates for PR
overall and as low as 1.9% post-hospitalization, and non-completion rates as high as 60%. The poor adaptation of
PR in the community is due to a combination of barriers in availability and accessibility, as well as attrition. The
number of PR centers in the United States is inadequate, and these centers are mostly distributed in urban areas.
In addition, multiple socioeconomic and medical barriers hinder access to PR, and contribute to high drop-out rates.
 New strategies are needed to reduce hospital readmission in COPD, and to increase the delivery of PR to
underserved urban as well as rural areas in the community. Given the scarcities in existing resources, conventional
models of care delivery are being challenged, and attempts are being made to find alternative, cost-effective ways
of delivering healthcare to a larger number of eligible patients. To overcome the socioeconomic and physical
barriers to PR, we hypothesize that a video telehealth intervention that will deliver PR to the patient's home,
regardless of geographic location, will reduce hospital readmissions in COPD, and reduce respiratory morbidity. To
test our hypothesis we propose a prospective randomized controlled phase 3 multicenter clinical trial comparing a
real-time video telehealth PR intervention plus standard of care versus standard of care alone, with the following
Specific Aims: (1) To determine if a video telehealth PR intervention reduces 30-day all-cause readmissions in
patients hospitalized for acute exacerbation of COPD, (2) To evaluate the effects of the video telehealth PR
intervention on dyspnea and respiratory quality of life in COPD post hospital discharge, and (3) To evaluate the
cost-effectiveness of the telehealth intervention. Accomplishment of the aims of this study will result in a significant
reduction in COPD readmission rates, and a paradigm shift in the way PR is delivered to patients with COPD,
especially those that reside in remote and rural areas with limited access to pulmonary rehabilitation.",,Behavioral and Social Science; Chronic Obstructive Pulmonary Disease; Clinical Research; Clinical Trials and Supportive Activities; Comparative Effectiveness Research; Cost Effectiveness Research; Health Disparities Research; Health Disparities and Racial or Ethnic Minority Health Research; Health Services; Lung; Networking and Information Technology R&D (NITRD); Patient Safety; Physical Activity; Physical Rehabilitation; Rehabilitation; Rural Health; Social Determinants of Health; Telehealth,Chronic Obstructive Pulmonary Disease,0.9301729798316956,Chronic Obstructive Pulmonary Disease:0.930173; Palliative Care:0.927428; Telehealth:0.926678
Cerebral Hemodynamics and Stroke in HIV-associated TB Meningitis.,Cerebral Hemodynamics and Stroke in HIV-associated TB Meningitis.,"Abstract
Tuberculous meningitis (TBM) disproportionally affects people in low- and middle-income countries and is
associated with high morbidity and mortality. Stroke is a common complication in TBM and can lead to severe
irreversible neurological disability. Studies on TBM-associated stroke pathology, however, have focused
primarily on HIV-uninfected individuals. The overall objective of this proposal is to use transcranial doppler and
brain imaging to understand changes in cerebral blood vessels and cerebral blood flow in order to determine
changes in cerebrovascular responsiveness, characterize patterns of stroke, and describe long-term
neurocognitive outcomes in HIV-associated TBM. The central hypothesis is that in HIV-infected individuals,
TBM causes extensive cerebral vascular narrowing and impaired cerebrovascular responsiveness, decreased
cerebral blood flow, and ultimately stroke. The central hypothesis will be tested by pursuing three specific aims:
1) describe changes in cerebrovascular responsiveness in HIV-associated TBM; 2) characterize the patterns of
stroke in HIV-associated TBM and determine whether it is associated with vasculopathy and/or impairments in
cerebrovascular responsiveness; and 3) determine if impaired cerebrovascular responsiveness predicts long-
term neurological outcome in HIV-associated TBM. Under Aim 1, transcranial doppler will be used to take
repeated measurements of the middle cerebral artery flow velocity and pulsatility index. A subset of study
subjects will also have dynamic measurements made in response to stimuli (inhaled CO2, changes in blood
pressure, and motor tasks). We will determine whether cerebrovascular responsiveness is impaired in HIV-
associated TBM by comparing measurements to those of control patients with no neurological infection. Under
Aim 2, all study subjects will have a brain MRI performed within the first 2-weeks of TBM treatment to identify
the presence of a cerebral artery stroke and the associated cerebral artery territory. We will compare TCD
readings between participants with or without stroke. Under Aim 3, we will examine how TCD measurements at
study enrolment relate to the results of neurocognitive testing at month 2 and functional assessment at month
6. Ultimately, the long-term goal of the proposal is to describe how impaired cerebrovascular responsiveness in
HIV-associated TBM contributes to the development of strokes and resulting neurocognitive impairment and
disability. The research proposed in this application is innovative because it incorporates the use of
transcranial doppler at the bedside, to be used in real time, in the care of subjects with TBM. The proposed
research is significant because it is expected to provide strong scientific justification for the development of
future clinical trials testing targeted interventions to improve cerebrovascular responsiveness and prevent the
development of strokes in HIV-associated TBM. Ultimately, such knowledge has the potential of preventing the
development of irreversible neurological injury and improving both short and long-term outcomes.",,Biodefense and Related Countermeasures; Biomedical Imaging; Brain Disorders; Cerebrovascular; Clinical Research; Emerging Infectious Diseases; HIV/AIDS; Infectious Diseases; Neurosciences; Rare Diseases; Stroke; Tuberculosis,Stroke,0.9347270727157593,Stroke:0.934727; Brain Disorders:0.932456; Cerebrovascular:0.931443
Targeting Neuropathogenesis of Altered Mental Status to Improve Survival in Cryptococcal Meningitis,Targeting Neuropathogenesis of Altered Mental Status to Improve Survival in Cryptococcal Meningitis,"Project Summary / Abstract
 Dr. Mahsa Abassi is an Assistant Professor of Medicine in the Division of Infectious Diseases at the
University of Minnesota. Over the past six years, she has been engaged in clinical research, focusing on HIV-
related neuroinfections in Uganda. Her long-term objective is to become an independent clinical researcher
with an emphasis on improving outcomes in neuroinfections. Her career development plan proposes mentored
training in: 1) neurologic techniques (EEGs, neuroradiology, and neurocognitive assessment), 2) laboratory
techniques related to metabolomics applications, and 4) biostatistics with an emphasis of analyzing
metabolites in biologic samples.
 Research: Cryptococcal meningitis accounts for 15% of HIV/AIDS-related deaths globally and is the most
common cause of adult meningitis in Africa. Altered mental status (ranging from delirium to coma) at the time
of cryptococcal meningitis diagnosis is consistently an independent predictor of increased mortality. Despite
repeated studies confirming this strong association between altered mental status and death, there is a
fundamental lack of understanding into the exact neurological abnormalities leading to acute altered mental
status, its contributions to increased mortality, and the best practices for management.
 The objective of this proposal is to identify the neurological abnormalities that contribute to altered mental
status and to understand how this contributes to increased cryptococcal mortality. The overarching hypothesis
is that cryptococcal meningitis with its increased intracranial pressure leads to cerebral hypoxia, abnormal
electrical activity, and biochemical changes in the central nervous system (CNS) that can be detected through
brain metabolite CSF analysis and enhanced clinical monitoring with cerebral oximetry and EEGs. This
proposal aims to: 1) determine if HIV-infected persons with cryptococcal meningitis presenting with altered
mental status (Glasgow Coma Scale (GCS) <15) at diagnosis have measurable underlying neurological
abnormalities and impairments in cerebral energy metabolism (i.e. insufficient oxidative metabolism) as
compared to persons with normal mental status (GCS=15); and 2) determine if implementation of standardized
clinical interventions can reverse neurological abnormalities and improve cerebral energy metabolism within 3
days of diagnosis, and reduce 30-day mortality in HIV-infected persons with cryptococcal meningitis presenting
with altered mental status (GCS<15). Results of the above aims will shed light into previously unknown
pathophysiologic mechanisms that lead to altered mental status in cryptococcal meningitis. The training in
neuroinfections, metabolomics applications, and biostatistics that Dr. Abassi will obtain will inform future
proposals dedicated to understanding the neuropathology of various neuroinfections and finding evidence-
based interventions dedicated to improving survival.",,Brain Disorders; Clinical Research; Clinical Trials and Supportive Activities; Infectious Diseases; Neurosciences,Alzheimer's Disease,0.927327573299408,Alzheimer's Disease:0.927328; Neurodegenerative:0.923443; Mental Illness:0.922722
Identification of regulatory mechanisms operating in rare pathogenic astrocyte subsets in multiple sclerosis with a novel genomic technology,Identification of regulatory mechanisms operating in rare pathogenic astrocyte subsets in multiple sclerosis with a novel genomic technology,"ABSTRACT
Single-cell genomic, epigenomic, and transcriptomic technologies can identify unique cell subsets with important
physiologic roles; however, RNA or DNA signatures cannot always be linked to unique surface markers,
hampering the re-isolation of these cell subsets for in-depth analyses. Moreover, conventional single-cell
methods require sequencing prohibitively large numbers of cells to characterize rare subsets. Here we will
develop and apply SEARCH-seq, a high-throughput cytometry method that detects RNA or DNA markers with
single molecule sensitivity that allows the rapid isolation of target cells for in-depth transcriptomic, genomic, or
epigenomic analyses. We will use the method to study the regulatory mechanisms controlling an astrocyte
subpopulation characterized by an alternatively spliced XBP1 transcript, which promotes disease pathology in
multiple sclerosis (MS). This subpopulation also manifests in the pre-clinical mouse model of experimental
autoimmune encephalomyelitis (EAE). Using SEARCH-seq in combination with conditional knock-out mice, in
vivo CRISPR/Cas9-driven perturbation studies, and RNA-seq analyses of mouse EAE and human MS samples,
we will characterize the role of these cells and their interaction with the nuclear receptor NR3C2 and its
corepressor NCOR2 in limiting XBP1-driven pathogenic astrocyte responses. In summary, SEARCH-seq is a
novel, sensitive, and high throughput method to capture rare brain cell subsets that are difficult to study with
existing technology and may have therapeutically targetable mechanisms relevant to MS pathogenesis.",,Autoimmune Disease; Biotechnology; Brain Disorders; Genetics; Human Genome; Multiple Sclerosis; Neurodegenerative; Neurosciences,Rare Diseases,0.9286529421806335,Rare Diseases:0.928653; Autoimmune Disease:0.928496; Multiple Sclerosis:0.923468
Gigapixel Next-Generation-Sequencing: An Ultra-Sensitive Diagnostic for Infections of the CNS,Gigapixel Next-Generation-Sequencing: An Ultra-Sensitive Diagnostic for Infections of the CNS,"ABSTRACT
Infectious diseases remain a significant cause of morbidity worldwide, highlighting the critical need for accurate
diagnosis. However, shared symptoms among different infections and the emergence of drug resistance make
diagnosis and treatment selection challenging. In this competing renewal, we propose to develop Gigapixel NGS
(gNGS) to enable rapid, sensitive, and information-rich infectious disease diagnosis. gNGS builds upon our
Gigapixel PCR (gPCR) technology by incorporating powerful next-generation sequencing capabilities. By
utilizing double emulsion vesicles for single cell assays, gNGS eliminates the need for specialized droplet
analyzers and allows common flow cytometers to be used for genome isolation.
Our goal in this renewal is to leverage the capabilities of Gigapixel NGS to detect, isolate, and sequence
infectious pathogen genomes from patient samples, which will improve the efficiency and sensitivity of pathogen
sequencing. We will collaborate with Dr. Charles Chiu, a renowned expert in infectious disease diagnostics who
leads the CLIA-certified pathogen lab at UCSF, to develop clinical workflows and bioinformatic tools for
interrogating the recovered genomes for relevant biomarker sequences, including virulence factors and drug
resistance genes. Dr. Chiu's expertise in infectious disease diagnostics and practical experience in clinical
sample sequencing for pathogen detection will ensure that the new diagnostic is effective and practical in a
clinical setting.",,Antimicrobial Resistance; Biodefense and Related Countermeasures; Biotechnology; Emerging Infectious Diseases; Genetics; Infectious Diseases; Neurosciences; Orthopoxviruses; Rare Diseases; Vector-Borne Diseases; West Nile Virus; Zika Virus,Emerging Infectious Diseases,0.9200988411903381,Emerging Infectious Diseases:0.920099; Precision Medicine:0.917608; Rare Diseases:0.914455
Next Generation Infectious Disease Diagnostics: Microfluidic-Free Gigapixel PCR with Self-Assembled Partitioning,Next Generation Infectious Disease Diagnostics: Microfluidic-Free Gigapixel PCR with Self-Assembled Partitioning,"ABSTRACT
Infections by different pathogens can manifest with similar symptoms, but appropriate treatment requires specific
and accurate diagnosis. Clinicians often turn to multiplexed assays testing for many organisms (e.g. BioFire).
While these approaches can test for 50-70 organisms, they do not provide concentration titers, which is
necessary to identify the causative pathogen among the several false positives or clinically meaningless
commensals. As a result, the clinician must perform additional tests to identify which of the positives is causative.
Although these tests use quantitative PCR, in clinical labs the results are reported as presence/absence due to
the finicky nature of PCR in this setting, which is sensitive to minor variations in reaction efficiency, operator
variability. As a result, today, only a few widespread PCR tests are FDA approved to report quantitative result.
In contrast to qPCR, digital PCR (dPCR) measures target titers by counting individual molecules. As a result,
dPCR provides an absolute concentration measurement that doesn’t require a standard curve. In addition, the
reaction is cycled to endpoint, then quantified; it does not require careful estimation of the amplification rate,
which is a major source of variability in qPCR. Thus, dPCR is less sensitive to variations in reaction efficiency
and provides superior consistency. However, current dPCR methods are limited in multiplexing, allowing just 5-
6 targets per assay, while qPCR can test up to 100. Moreover, dPCR requires complex microfluidic equipment
that burdens testing lab personnel and increases cost. Until these issues can be addressed, qPCR will continue
to dominate the clinical lab, and quantitative and absolute pathogen load reporting will remain beyond reach.
Here, we propose a novel nucleic acid technology combining the quantitativeness and robustness of dPCR with
the simplicity and multiplexing of qPCR. Our vision is to enable broad spectrum detection wherein each pathogen
is associated with a high confidence, quantitative titer. Our approach – gigapixel PCR (gPCR) – is enabled by
our recent discoveries of self-assembled partitioning, for microfluidic-free generation of monodispersed
emulsions, and linearized target quantitation with capillary electrophoresis (CE). CE allows sensitive quantitation
over 7 decades and provides amplicon length information with single nucleotide resolution. In gPCR, we use this
to perform multiplexed detection of over 100 amplicons per reaction. In contrast to qPCR, which requires that
the sample be split to test for different targets, thereby diluting it and reducing sensitivity, with gPCR the targets
are tested without splitting, maintaining them at maximal concentration, and substantially increasing sensitivity.
Moreover, based on robust dPCR, gPCR provides reproducible, quantitative results across testing conditions. It
thus addresses the major limitations of current dPCR technologies and provides the first viable alternative to
qPCR in the clinic. We will develop and validate the technology against accepted standards (SeraCare), and
work with our longstanding collaborators (Drs. Melanie Ott and Charles Chiu) to apply it to respiratory and CNS
infections from samples previously collected at UCSF hospitals.",,Bioengineering; Biotechnology; Emerging Infectious Diseases; Infectious Diseases; Neurosciences; Vector-Borne Diseases,Precision Medicine,0.9286044836044312,Precision Medicine:0.928604; Emerging Infectious Diseases:0.924778; Coronaviruses Diagnostics and Prognostics:0.921790
A non-invasive metabolic sensor for improving success in IVF,A non-invasive metabolic sensor for improving success in IVF,"ABSTRACT
Embryos cultured external to the body are exposed to non-physiologic conditions that can impair the health of
the future adult. Moreover, culture stress reduces immediate embryo viability and implantation success,
motivating multiple embryo transfers and leading to high rates of multiple pregnancies. These pregnancies are
risky for fetus and mother and exhibit a high healthcare cost burden. To address this, embryos are screened
based on early-stage morphology to identify the healthiest for transfer, but this approach achieves limited
success and is highly dependent on the individual conducting the test. An accurate and objective screening
method would increase implantation rates and reduce the need for multiple transfers, in addition to yielding
healthier offspring. The objective of this project is to develop a new technology for noninvasive IVF embryo
selection. Dr. Paolo Rinaudo, Co-I on this grant, is a Reproductive Endocrinologist working at the UCSF Center
for Reproductive Health which performs >2000 IVF procedures per year and has commitment to research.
Through experience derived from two decades of work in IVF, he identified that current methods for screening
embryos are inadequate, with the gold standard, morphological selection, achieving a positive predictive value
of just 30%. While an embryo may appear morphologically healthy, it may not be molecularly healthy, which may
affect the long-term development of the fetus. Among his two decades of research on cultured embryos and IVF
is the finding that ex vivo culture can stress embryos and drive Warburg-like metabolism. In addition, culture
stress has now been correlated to long-term negative health outcomes, including abnormal placental
development, metabolic dysfunction, hypertension, and diabetes. Dr. Rinaudo hypothesized that metabolically
active embryos lower their culture droplet pH, similar to how Warburg metabolism acidifies the environment
around cancer cells, thereby affording a simple way to select the best embryos for transfer. His research has
confirmed this, but the technique cannot be translated to practice because there is no effective and reliable pH
measuring method for the culture droplet due to its tiny volume. Armed with this concept, he reached out to Dr.
Adam Abate, a physicist and engineer at UCSF. Dr. Abate is a leader in microfluidics and nanotechnology with
a record of developing and translating health care technologies to practice, having founded multiple companies
commercializing his inventions, including Fluent Biosciences (genomics), Mission Bio (oncology diagnostics) and
Scribe (cell & gene therapy). Together, Drs. Rinaudo and Abate have designed a novel hydrogel biosensor that
non-invasively measures culture droplet pH. Being an IVF clinician, Dr. Rinaudo is aware of the regulatory and
practical constraints of IVF operations and thus ensured the design is feasible for this setting by making it simple,
non-invasive, and cost-effective. This grant will develop the technology and validate its efficacy in a mouse model
of IVF, providing critical data for a follow-on R01. The project is thus based on a rigorous scientific foundation,
decades of clinical experience, and comprises a team capable of translating science discoveries to the clinic.",,Bioengineering; Biotechnology; Contraception/Reproduction; Pregnancy,Biomedical Imaging,0.9204448461532593,Biomedical Imaging:0.920445; Conditions Affecting the Embryonic and Fetal Periods:0.916603; Diabetes:0.915383
"Understanding the influence of bone-metastatic prostate cancer and mesenchymal stromal cells on γδ T cells, in the bone microenvironment.","Understanding the influence of bone-metastatic prostate cancer and mesenchymal stromal cells on γδ T cells, in the bone microenvironment.","While immunotherapies have made strides in the treatment of other cancers, castrate resistant prostate cancer
(CRPC) remains largely unresponsive, underscoring the need for novel approaches. One such approach relies
on the administration of autologous T cells genetically modified to express a chimeric antigen receptor (CAR)
that recognize specific tumor-associated antigens. Prostate Stem Cell Antigen (PSCA) is widely expressed in
prostate cancer and we have previously developed a CAR targeting PSCA that has potent in vivo efficacy. To
target bone metastatic CRPC (mCRPC), we propose to manipulate a specific subset of T cells, called γδ that
can be driven to the skeleton via systemic treatment with bisphosphonates such as zoledronate (ZOL) that is
clinically used to limit cancer-induced bone disease in men with bone mCRPC. Importantly, ZOL treatment
induces accumulation of phosphoantigens in tumor cells, which are detected by γδ T cells. Our preliminary
findings show that ZOL can enhance γδ T-cells' homing to bone where they can prevent cancer growth via
CAR and via endogenous T-cell receptor (TCR) recognition. γδ CAR-T treatment, in presence or absence of
ZOL, can mitigate cancer-induced bone deterioration. Moreover, we found that soluble factors secreted by
bone marrow derived mesenchymal stromal cells (MSC) can increase the cytotoxic potential of γδ CART cells.
Finally, we found that the choice of CAR structural and costimulatory moieties affects the phenotype and
fuction αβ and γδ T cells differentially, requiring the design of CARs optimized for γδ T cells. Based on these
preliminary findings we hypothesize that the homing and cytotoxic activity of γδ CAR-T cells for the
treatment of bone metastatic CRPC can be greatly enhanced through genetic, pharmacological, and
microenvironmental approaches. We will test our hypothesis by; 1) Defining the optimum γδ CAR-T design
that will significantly enhance CRPC cytotoxicity. We will test the biological implications of choosing alternative
CAR transmembrane and costimulatory domains, with a specific focus on their ability to modulate the
expression of cytokine receptors. We will also dissect the specific signaling pathways that can govern γδ CAR-
T cell persistence. Finally, we will identify the molecular signaling pathways triggered by CARs with different
costimulatory domains. 2) Determining if ZOL can drive γδ CAR-T recruitment and anti-bone mCRPC activity in
vivo. We will use xenograft and PDX models of bone mCRPC to characterize the bioavailability and therapeutic
efficacy of γδ CAR-T + ZOL; and an immunocompetent model to map sites of phosphoantigen accumulation.
3) Dissecting the reciprocal effects of γδ CAR-T on the bone mCRPC microenvironment. We will analyze the
impact of γδ CAR-T + ZOL treatment on the structure and physiology of the bone, and the effects of MSC on
the performance of γδ CAR-T cells in vivo. Based on the anticipated results, characterizing the specific
properties of the bone/tumor microenvironment will reveal novel insights thereby providing a strong rationale
for the translation of immunotherapies tailored to eliminate currently incurable bone mCRPC.",,Biotechnology; Cancer; Gene Therapy; Genetics; Immunotherapy; Prostate Cancer; Urologic Diseases,Prostate Cancer,0.9234994649887085,Prostate Cancer:0.923499; Precision Medicine:0.915639; Immunotherapy:0.911510
KIR2DL2 Immune Checkpoint as Modulator of T-Cell Effector Function,KIR2DL2 Immune Checkpoint as Modulator of T-Cell Effector Function,"Project Summary
 Killer cell immunoglobulin-like receptors (KIR) are mainly expressed by NK cells, although their
expression has also been described in CD4+, CD8+ and γδ T cells. Within CD8 T cells, KIR expression is
induced at later stages of lymphocyte maturation and is thought to regulate specific T cell effector functions.
Within KIR receptors, KIR2DL2 modulates T cell effector functions, as KIR2DL2+ CD8+ T cells present
reduced level of activation-induced cell death, and poor IFN-γ secretion after T cell receptor (TCR)
stimulation. The notion of a suppressive function of KIR2DL2 expression in CD8+ T cells is supported by the
observation that patients that express its cognate ligand, HLA-C1, showed decreased overall survival and
could not control tumor growth. Our preliminary data show that KIR2DL2 expression increases in vivo in
adoptively transferred T cells in patients and in preclinical models of adoptive immunotherapy. Using a
pancreatic tumor model, we found that chimeric antigen receptor (CAR)-T cells expressing KIR2DL2 were
significantly less cytotoxic than their KIR2DL2- counterparts in presence of KIR2DL2’s ligand. Furthermore,
KIR2DL2 expression in CAR-T cells was associated with reduced antitumor efficacy, in an HLA-I-dependent
manner, in a murine model of pancreatic cancer. Based on these preliminary findings we hypothesize that
KIR2DL2 behaves as a T cell immune checkpoint, modulating T cell effector function and leading to
an ineffective immunosurveillance. Therefore, targeting KIR2DL2 during T cell manufacturing may
improve T cell performance after cell infusion. We will test our hypothesis by 1) Defining the modulatory
mechanisms whereby KIR2DL2 shapes CAR- and TCR-transgenic T cell antitumoral effector function. We
will determine the overall effect of KIR2DL2 engagement in TCR-transgenic and CAR-T cell effector function.
Additionally, we will determine which regions within KIR2DL2 are responsible for its modulatory function.
Finally, we will characterize both the KIR2DL2 signaling interactome and the downstream events triggered
by its ligand interaction by immunoprecipitation and proteomic analyses. 2) Improving T cell performance for
the enhancement of adoptive cell immunotherapies (ACTs) by abrogating KIR2DL2 function. To prevent its
inhibitory effect, manipulation of KIR2DL2 expression and/or signaling will be conducted and adapted to the
current protocols for CAR-T cell manufacturing. Based on the anticipated results, we will link for the first time
the biological and molecular function of KIR2DL2 within therapeutic T cells. The proposed studies will
increase our mechanistic understanding of KIR2DL2 biology and will generate novel cell products with high
translational potential.",,Biotechnology; Cancer; Gene Therapy; Genetics; Immunotherapy,Immunotherapy,0.9096899628639221,Immunotherapy:0.909690; Primary Immunodeficiencies:0.899365; Topical Microbicides:0.898343
Molecular mechanisms of prostate cancer metastasis,Molecular mechanisms of prostate cancer metastasis,"Although locally invasive prostate cancer is nearly always curable, metastatic prostate cancer is usually fatal.
Our research is focused on elucidating mechanisms that promote metastatic progression and underlie
phenotypic heterogeneity of metastases. Toward this end, we have developed a series of genetically engineered
mouse models (GEMMs) that recapitulate the phenotypic heterogeneity of metastatic prostate cancer. The
centerpiece of this collection of GEMMs is the NPKEYFP mouse model, which develops highly penetrant bone
metastasis. This model is complemented by additional GEMMs, namely the NPMEYFP and NPp53EYFP mice, that
display distinctive metastatic phenotypes. We have performed transcriptomic analyses at the bulk tissue and
single-cell level of prostate tumors and metastases from these GEMMs to identify candidate drivers (master
regulators (MRs)) of metastatic progression and phenotypic heterogeneity. Furthermore, we have isolated
circulating tumor cells (CTCs) from these metastatic GEMMs to study their heterogeneity at the cellular level. In
particular, we have established a pipeline to isolate and molecularly characterize individual CTCs as organoids
and to study the CTCs at the single-cell level. Our investigations have uncovered several themes that shape the
direction of our research. In particular, our findings support the concept that specific mutational events (such as
loss of function of p53 and activation of MYC and RAS signaling) as well as cellular plasticity are key drivers of
metastatic progression and phenotypic heterogeneity.
Thus, we will investigate our hypothesis that heterogeneity of metastasis represents the culmination of
molecular, cellular, and organismal differences, as follows: In Aim 1, we will study mechanisms of metastatic
progression by: (a) investigating the role of the histone methyltransferase NSD2 by analyses of a new GEMM
with gain of function of NSD2 in prostate tumors; and (b) studying cell-intrinsic mechanisms of metastatic
progression at the single-cell level in primary tumors and lung and bone metastases. In Aim 2, we will investigate
molecular mechanisms of phenotypic heterogeneity of metastasis by analyses of our GEMMs that display a
range of metastatic phenotypes. In Aim 3, we will examine cellular heterogeneity of circulating tumor cells (CTCs)
at the single-cell level using organoid models and single-cell sequencing approaches. Taken together, our
studies are highly innovative in their combination of sophisticated inducible mouse models, single-cell analyses,
organoid culture methods, and computational systems approaches to investigate a central problem in cancer
biology. Our studies of precision modeling of prostate cancer metastasis may ultimately help guide individualized
patient care.",,Cancer; Cancer Genomics; Clinical Research; Genetics; Human Genome; Prostate Cancer; Urologic Diseases,Prostate Cancer,0.9312940835952759,Prostate Cancer:0.931294; Pancreatic Cancer:0.922223; Lung Cancer:0.913310
